Time Apple Generated,Time Of Click,Apple Type,Location,Apple's Speed,Reaction Time
1436960886.214445,,good,Pot,,
1436960898.847691,,good,Pot,,
1436960903.0718,,good,Pot,,
1436960915.104358,,good,Pot,,
1436960940.405287,,good,Pot,,
1436960943.411645,,good,Pot,,
1436960944.008883,,good,Pot,,
1436960948.827306,,good,Pot,,
1436960954.830898,,good,Pot,,
1436960958.432287,,good,Pot,,
1436960965.028596,,good,Pot,,
1436960971.645842,,good,Pot,,
1436960972.843483,,good,Pot,,
1436960975.251612,,good,Pot,,
1436960981.267093,,good,Pot,,
1436960986.67756,,good,Pot,,
1436960999.293025,,good,Pot,,
1436961006.524347,,good,Pot,,
1436961007.730333,,good,Pot,,
1436961008.33159,,good,Pot,,
1436961016.167288,,good,Pot,,
1436961028.208923,,good,Pot,,
1436961032.427958,,good,Pot,,
1436961039.653764,,good,Pot,,
1436961072.73731,,good,Pot,,
1436961073.335048,,good,Pot,,
1436961073.940292,,good,Pot,,
1436961074.542751,,good,Pot,,
1436961081.17405,,good,Pot,,
1436961094.402411,,good,Pot,,
1436961095.009164,,good,Pot,,
1436961106.463007,,good,Pot,,
1436961107.063535,,good,Pot,,
1436961114.278579,,good,Pot,,
1436961120.27791,,good,Pot,,
1436961128.094094,,good,Pot,,
1436961128.692057,,good,Pot,,
1436961132.306309,,good,Pot,,
1436961132.913569,,good,Pot,,
1436961138.370846,,good,Pot,,
1436961139.573809,,good,Pot,,
1436961147.40812,,good,Pot,,
1436961151.628901,,good,Pot,,
1436961158.834377,,good,Pot,,
1436961161.827485,,good,Pot,,
1436961162.42689,,good,Pot,,
1436961168.445954,,good,Pot,,
1436961191.294998,,good,Pot,,
1436961192.498583,,good,Pot,,
1436961193.69941,,good,Pot,,
1436961197.304182,,good,Pot,,
1436961200.914138,,good,Pot,,
1436961209.955968,,good,Pot,,
1436961218.978168,,good,Pot,,
1436961223.191618,,good,Pot,,
1436961223.796027,,good,Pot,,
1436961250.250861,,good,Pot,,
1436961252.051071,,good,Pot,,
1436961255.654625,,good,Pot,,
1436961263.468898,,good,Pot,,
1436961264.073847,,good,Pot,,
