Time Apple Generated,Time Of Click,Apple Type,Location,Apple's Speed,Reaction Time,Error Type
1437127351.474377,,bad,,,,
1437127351.496787,,bad,,,,
1437127351.521984,1437127352.021522,bad,Bin,,0.49953794479370117,
,,,,,,
1437127352.369132,,good,Pot,18.564650000000004,,
1437127353.116092,1437127353.764274,good,Bin,,0.6481819152832031,clicked
,,,,,,
1437127354.114501,,good,,,,
1437127354.136379,1437127354.612523,bad,Bin,,0.47614407539367676,
,,,,,,
1437127354.95817,,bad,,,,
1437127354.983516,,bad,,,,
